10 
-1, 19.1, 113, 53, 33.4, 65.3, 195, 11.2, 11.3, 49.9
19.1, -1, 94.6, 59.8, 14.8, 56.8, 202, 19, 27.4, 55.1
113, 94.6, -1, 133, 84.8, 49.4, 227, 102, 116, 150
53, 59.8, 133, -1, 68.6, 95.6, 159, 71.4, 65, 79.7
33.4, 14.8, 84.8, 68.6, -1, 47.1, 194, 32.7, 41.1, 68.8
65.3, 56.8, 49.4, 95.6, 47.1, -1, 183, 64.4, 78.5, 100
195, 202, 227, 159, 194, 183, -1, 215, 208, 223
11.2, 19, 102, 71.4, 32.7, 64.4, 215, -1, 5.1, 41.8
11.3, 27.4, 116, 65, 41.1, 78.5, 208, 5.1, -1, 38.4
49.9, 55.1, 150, 79.7, 68.8, 100, 223, 41.8, 38.4, -1
